"ISO2 Code","Country","Capital City","Region","GDP 2024 (USD M)","GDP 2025 (USD M)","GDP Growth (%)","GDP per Capita","Inflation (%)","Unemployment (%)","Electricity Access (%)","Internet Access (%)","Urban m² per Person","Urban People per km²"
"MU ","Republic of Mauritius","Port Louis","Eastern Africa","14953.00","15495.00","3.62","12273.04","10.77","7.23","99.60","67.58","377.0","2653.5"
"MA ","Kingdom of Morocco","Rabat","Northern Africa","155350.00","165835.00","6.75","4427.23","6.66","10.49","100.00","88.13","123.0","8105.4"
"TN ","Republic of Tunisia","Tunis","Northern Africa","53063.00","56291.00","6.08","4555.72","8.31","16.12","99.90","78.99","233.0","4293.4"
